2019/01/31 19:30:37 File name nextFiles: C
2019/01/31 19:30:49 File name nextFiles: pluto
2019/01/31 19:30:49 File name nextFiles: programming
2019/01/31 19:33:45 File name nextFiles: C Is a dir: %!b(bool=true)
2019/01/31 19:33:45 File name nextFiles: Bash Is a dir: %!b(bool=true)
2019/01/31 19:33:47 File name nextFiles: pluto Is a dir: %!b(bool=true)
2019/01/31 19:33:47 File name nextFiles: programming Is a dir: %!b(bool=false)
2019/01/31 19:34:08 File name nextFiles: projectVid.kdenlive Is a dir:%!(EXTRA bool=false)
2019/01/31 19:34:08 File name nextFiles: programming Is a dir:%!(EXTRA bool=false)
2019/01/31 19:34:09 File name nextFiles: pluto Is a dir:%!(EXTRA bool=true)
2019/01/31 19:34:09 File name nextFiles: programming Is a dir:%!(EXTRA bool=false)
2019/01/31 19:34:30 File name nextFiles: projectVid.kdenlive Is a dir: %!s(bool=false)
2019/01/31 19:34:30 File name nextFiles: programming Is a dir: %!s(bool=false)
2019/01/31 19:35:20 File name nextFiles: .ArchLabs-homepage, Is a dir: %!s(bool=true)
2019/01/31 19:35:20 File name nextFiles: .BOINC, Is a dir: %!s(bool=true)
2019/01/31 19:35:20 File name nextFiles: .BOINC Manager, Is a dir: %!s(bool=false)
2019/01/31 19:35:20 File name nextFiles: .ColorGrab, Is a dir: %!s(bool=true)
2019/01/31 19:35:20 File name nextFiles: .PlayOnLinux, Is a dir: %!s(bool=true)
2019/01/31 19:35:20 File name nextFiles: .ColorGrab, Is a dir: %!s(bool=true)
2019/01/31 19:35:21 File name nextFiles: .BOINC Manager, Is a dir: %!s(bool=false)
2019/01/31 19:35:21 File name nextFiles: .BOINC, Is a dir: %!s(bool=true)
2019/01/31 19:35:21 File name nextFiles: .ArchLabs-homepage, Is a dir: %!s(bool=true)
2019/01/31 19:35:22 File name nextFiles: index.html, Is a dir: %!s(bool=false)
2019/01/31 19:35:23 File name nextFiles: res, Is a dir: %!s(bool=true)
2019/01/31 19:35:23 File name nextFiles: archlabs02.png, Is a dir: %!s(bool=false)
2019/01/31 19:35:24 File name nextFiles: .BOINC, Is a dir: %!s(bool=true)
2019/01/31 19:35:24 File name nextFiles: .ArchLabs-homepage, Is a dir: %!s(bool=true)
2019/01/31 19:35:25 File name nextFiles: .$thumbs, Is a dir: %!s(bool=true)
2019/01/31 19:35:25 File name nextFiles: .ArchLabs-homepage, Is a dir: %!s(bool=true)
2019/01/31 19:35:25 File name nextFiles: index.html, Is a dir: %!s(bool=false)
2019/01/31 19:35:34 File name nextFiles: .ArchLabs-homepage, Is a dir: %!s(bool=true)
2019/01/31 19:35:35 File name nextFiles: .BOINC, Is a dir: %!s(bool=true)
2019/01/31 19:35:35 File name nextFiles: .BOINC Manager, Is a dir: %!s(bool=false)
2019/01/31 19:35:35 File name nextFiles: .ColorGrab, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .PlayOnLinux, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .Prison Architect, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .PyCharmCE2018.2, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .Xauthority, Is a dir: %!s(bool=false)
2019/01/31 19:35:36 File name nextFiles: .Xresources, Is a dir: %!s(bool=false)
2019/01/31 19:35:36 File name nextFiles: .adobe, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .android, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .appdata, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .atom, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .audacity-data, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .bash_history, Is a dir: %!s(bool=false)
2019/01/31 19:35:36 File name nextFiles: .bash_logout, Is a dir: %!s(bool=false)
2019/01/31 19:35:36 File name nextFiles: .bash_profile, Is a dir: %!s(bool=false)
2019/01/31 19:35:36 File name nextFiles: .bashrc, Is a dir: %!s(bool=false)
2019/01/31 19:35:36 File name nextFiles: .buildozer, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .cache, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .cargo, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .config, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .creepMiner, Is a dir: %!s(bool=true)
2019/01/31 19:35:36 File name nextFiles: .dmrc, Is a dir: %!s(bool=false)
2019/01/31 19:35:36 File name nextFiles: .docker, Is a dir: %!s(bool=true)
2019/01/31 19:35:37 File name nextFiles: .dmrc, Is a dir: %!s(bool=false)
2019/01/31 19:35:37 File name nextFiles: .creepMiner, Is a dir: %!s(bool=true)
2019/01/31 19:35:37 File name nextFiles: 1.8.3, Is a dir: %!s(bool=true)
2019/01/31 19:35:38 File name nextFiles: data.db, Is a dir: %!s(bool=false)
2019/01/31 19:35:39 File name nextFiles: .dmrc, Is a dir: %!s(bool=false)
2019/01/31 19:35:39 File name nextFiles: .docker, Is a dir: %!s(bool=true)
2019/01/31 19:35:39 File name nextFiles: .droidcam, Is a dir: %!s(bool=true)
2019/01/31 19:35:40 File name nextFiles: josh, Is a dir: %!s(bool=true)
2019/01/31 19:35:41 File name nextFiles: josh, Is a dir: %!s(bool=true)
2019/01/31 19:35:41 File name nextFiles: josh, Is a dir: %!s(bool=true)
2019/01/31 19:35:41 File name nextFiles: josh, Is a dir: %!s(bool=true)
2019/01/31 19:35:41 File name nextFiles: josh, Is a dir: %!s(bool=true)
2019/01/31 19:35:42 File name nextFiles: josh, Is a dir: %!s(bool=true)
2019/01/31 19:35:42 File name nextFiles: josh, Is a dir: %!s(bool=true)
2019/01/31 19:35:42 File name nextFiles: lib, Is a dir: %!s(bool=false)
2019/01/31 19:35:42 File name nextFiles: lib64, Is a dir: %!s(bool=false)
2019/01/31 19:35:43 File name nextFiles: lost+found, Is a dir: %!s(bool=true)
2019/01/31 19:35:43 open /lost+found/: permission denied
2019/01/31 19:35:43 File name nextFiles: mnt, Is a dir: %!s(bool=true)
2019/01/31 19:35:43 File name nextFiles: opt, Is a dir: %!s(bool=true)
2019/01/31 19:35:43 File name nextFiles: proc, Is a dir: %!s(bool=true)
2019/01/31 19:35:44 File name nextFiles: root, Is a dir: %!s(bool=true)
2019/01/31 19:35:44 File name nextFiles: run, Is a dir: %!s(bool=true)
2019/01/31 19:35:44 File name nextFiles: sbin, Is a dir: %!s(bool=false)
2019/01/31 19:35:44 File name nextFiles: srv, Is a dir: %!s(bool=true)
